ts,unit,code,description,detail,data
20250205 15:54:00,BMS 1,4,Start charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 68 %. SOH: 100 %. Battery voltage: 214.7 V. Output voltage: 215.9 V. Output current: -3.6 A. Cell max voltage: 3363 mV. Cell min voltage: 3347 mV. Cell max temp: 21 °C. Cell min temp: 20 °C.",000000000000000018446463086f08dcff230d130d1514
20250205 15:54:03,BMS 2,4,Start charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 64 %. SOH: 100 %. Battery voltage: 214.7 V. Output voltage: 213.9 V. Output current: -3.6 A. Cell max voltage: 3361 mV. Cell min voltage: 3350 mV. Cell max temp: 20 °C. Cell min temp: 19 °C.",000000000000000018406463085b08dcff210d160d1413
20250205 16:13:53,BMS 1,6,Start discharging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 68 %. SOH: 100 %. Battery voltage: 210.9 V. Output voltage: 211.5 V. Output current: 2.9 A. Cell max voltage: 3301 mV. Cell min voltage: 3289 mV. Cell max temp: 21 °C. Cell min temp: 20 °C.",00000000000000001844643d0843081d00e50cd90c1514
20250205 16:14:41,BMS 2,6,Start discharging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 65 %. SOH: 100 %. Battery voltage: 210.5 V. Output voltage: 210.7 V. Output current: 3.6 A. Cell max voltage: 3293 mV. Cell min voltage: 3287 mV. Cell max temp: 20 °C. Cell min temp: 19 °C.",000000000000000018416439083b082400dd0cd70c1413
20250205 20:41:43,BMS 1,18,Stop balancing,Cell min voltage: 3260 mV.,000000000000000000000000000000000000000000bc0c
20250205 21:25:39,BMS 1,7,Stop discharging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 41 %. SOH: 100 %. Battery voltage: 209.7 V. Output voltage: 210.3 V. Output current: 0.0 A. Cell max voltage: 3279 mV. Cell min voltage: 3273 mV. Cell max temp: 20 °C. Cell min temp: 19 °C.",0000000000000000182964310837080000cf0cc90c1413
20250205 21:25:40,BMS 2,7,Stop discharging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 38 %. SOH: 100 %. Battery voltage: 209.7 V. Output voltage: 209.5 V. Output current: 0.0 A. Cell max voltage: 3278 mV. Cell min voltage: 3275 mV. Cell max temp: 19 °C. Cell min temp: 19 °C.",000000000000000018266431082f080000ce0ccb0c1313
20250206 09:47:19,BMS 1,4,Start charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 40 %. SOH: 100 %. Battery voltage: 211.2 V. Output voltage: 211.9 V. Output current: -0.8 A. Cell max voltage: 3301 mV. Cell min voltage: 3297 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",000000000000000018286440084708f8ffe50ce10c1312
20250206 09:47:30,BMS 2,4,Start charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 37 %. SOH: 100 %. Battery voltage: 211.2 V. Output voltage: 211.1 V. Output current: -0.6 A. Cell max voltage: 3301 mV. Cell min voltage: 3299 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",000000000000000018256440083f08faffe50ce30c1312
20250206 10:01:06,BMS 2,5,Stop charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 38 %. SOH: 100 %. Battery voltage: 210.7 V. Output voltage: 210.7 V. Output current: 0.0 A. Cell max voltage: 3294 mV. Cell min voltage: 3292 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",00000000000000001826643b083b080000de0cdc0c1312
20250206 10:01:35,BMS 1,5,Stop charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 41 %. SOH: 100 %. Battery voltage: 210.7 V. Output voltage: 211.5 V. Output current: 0.0 A. Cell max voltage: 3295 mV. Cell min voltage: 3292 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",00000000000000001829643b0843080000df0cdc0c1312
20250206 10:08:57,BMS 1,4,Start charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 41 %. SOH: 100 %. Battery voltage: 211.0 V. Output voltage: 211.9 V. Output current: -0.4 A. Cell max voltage: 3299 mV. Cell min voltage: 3297 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",00000000000000001829643e084708fcffe30ce10c1312
20250206 10:09:20,BMS 2,4,Start charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 38 %. SOH: 100 %. Battery voltage: 211.0 V. Output voltage: 210.3 V. Output current: -0.1 A. Cell max voltage: 3299 mV. Cell min voltage: 3297 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",00000000000000001826643e083708ffffe30ce10c1312
20250206 10:17:55,BMS 1,5,Stop charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 41 %. SOH: 100 %. Battery voltage: 210.8 V. Output voltage: 211.5 V. Output current: 0.0 A. Cell max voltage: 3296 mV. Cell min voltage: 3293 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",00000000000000001829643c0843080000e00cdd0c1312
20250206 10:18:05,BMS 2,5,Stop charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 38 %. SOH: 100 %. Battery voltage: 210.8 V. Output voltage: 210.7 V. Output current: 0.0 A. Cell max voltage: 3295 mV. Cell min voltage: 3293 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",00000000000000001826643c083b080000df0cdd0c1312
20250206 10:25:58,BMS 1,4,Start charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 41 %. SOH: 100 %. Battery voltage: 211.6 V. Output voltage: 212.3 V. Output current: -0.6 A. Cell max voltage: 3309 mV. Cell min voltage: 3303 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",000000000000000018296444084b08faffed0ce70c1312
20250206 10:26:02,BMS 2,4,Start charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 38 %. SOH: 100 %. Battery voltage: 211.6 V. Output voltage: 210.7 V. Output current: -0.4 A. Cell max voltage: 3309 mV. Cell min voltage: 3306 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",000000000000000018266444083b08fcffed0cea0c1312
20250206 10:41:39,BMS 2,3,Timing record,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 38 %. SOH: 100 %. Battery voltage: 212.2 V. Output voltage: 211.5 V. Output current: -1.1 A. Cell max voltage: 3318 mV. Cell min voltage: 3314 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",00000000000000001826644a084308f5fff60cf20c1312
20250206 10:41:52,BMS 1,3,Timing record,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 41 %. SOH: 100 %. Battery voltage: 212.2 V. Output voltage: 212.7 V. Output current: -1.3 A. Cell max voltage: 3318 mV. Cell min voltage: 3311 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",00000000000000001829644a084f08f3fff60cef0c1312
20250206 10:41:58,BMU,118,System timing,Status: Active. Environment min temp: 21 °C. Environment max temp: 26 °C. SOC: 40 %. SOH: 100 %. Battery temp: 18 °C. Battery voltage: 212.2 V. Cell max voltage: 3319 mV. Cell min voltage: 3310 mV. Battery max temp: 21 °C. Battery min temp: 17 °C.,03151a286412084a0cf70cee00150011000000000000ff
20250206 10:46:57,BMU,36,Functional safety info,Running time: 864300 s. Cells: 64. Temperature sensors: 32. Cell max voltage: 3315 mV. Cell min voltage: 3309 mV. Cell max temp: 19 °C. Cell min temp: 18 °C. Output current: -0.7 A. Output voltage: 213.9 V. Accumulated voltage: 212.0 V. BMS address: 1. Module type: HVM. Modules: 4.,000d302c40200cf30ced1312fff9085b08480101040000
20250206 10:46:57,BMS 2,111,Time calibrated,Date time set to 2025-02-06 10:46:57.,1902060a2e39ffffffffffffffffffffffffffffffffff
20250206 10:46:58,BMS 1,111,Time calibrated,Date time set to 2025-02-06 10:46:57.,1902060a2e39ffffffffffffffffffffffffffffffffff
20250206 11:44:15,BMS 1,17,Start balancing,"Balancing cells: 39,54. Cell min voltage: 3325 mV.",000000008000400000000000000000000000000000fd0c
20250206 15:02:23,BMS 2,17,Start balancing,"Balancing cells: 31,42,46,57,59. Cell min voltage: 3414 mV.",000000800044000a00000000000000000000000000560d
20250206 15:03:03,BMS 1,2,Events record,"Warnings: Cells overvoltage. Errors: -. Status: Relay on, Air switch on. SOC: 93 %. SOH: 100 %. Battery voltage: 219.3 V. Output voltage: 219.9 V. Output current: -6.1 A. Cell max voltage: 3450 mV. Cell min voltage: 3400 mV. Cell max temp: 23 °C. Cell min temp: 21 °C.",0400000000000000185d6491089708c3ff7a0d480d1715
20250206 15:03:03,BMS 1,21,Events additional info,"Warnings: Cells overvoltage. Errors: -. Status: Relay on, Air switch on. SOC: 93 %. SOH: 100 %. Battery voltage: 219.3 V. Output voltage: 219.9 V. Output current: 0.0 A. Cell max voltage id: 10. Cell min voltage id: 40. Cell max temp id: 13. Cell min temp ud: 0.",0400000000000000185d649108970800000a28030d0000
20250206 15:03:04,BMU,38,SOP info,Max charge current: 30.2 A. Max discharge current: 50.0 A. Max charge voltage: 233.6 V. Max discharge voltage: 160.0 V. Status: Active. Battery temp: 21 °C. Inverter: Fronius HV. BMS quantity: 2.,012e01f4092006400315000203ffffffffffffffffffff
20250206 15:04:39,BMS 2,2,Events record,"Warnings: Cells overvoltage. Errors: -. Status: Relay on, Air switch on. SOC: 88 %. SOH: 100 %. Battery voltage: 219.5 V. Output voltage: 219.9 V. Output current: -7.6 A. Cell max voltage: 3450 mV. Cell min voltage: 3418 mV. Cell max temp: 23 °C. Cell min temp: 21 °C.",040000000000000018586493089708b4ff7a0d5a0d1715
20250206 15:04:39,BMS 2,21,Events additional info,"Warnings: Cells overvoltage. Errors: -. Status: Relay on, Air switch on. SOC: 88 %. SOH: 100 %. Battery voltage: 219.5 V. Output voltage: 219.9 V. Output current: 0.0 A. Cell max voltage id: 60. Cell min voltage id: 12. Cell max temp id: 25. Cell min temp ud: 0.",04000000000000001858649308970800003c0c0b190000
20250206 15:17:55,BMS 2,16,Start end SOC calibration,Warnings: Cells overvoltage. Errors: -. Status: Charge MOS switch off. SOC: 91 %. SOH: 96 %. Battery voltage: 221.3 V. Output voltage: 220.7 V. Output current: -7.3 A. Cell max voltage: 3501 mV. Cell min voltage: 3431 mV. Cell max temp: 23 °C. Cell min temp: 21 °C.,0400000000000000015b60a5089f08b7ffad0d670d1715
20250206 15:20:38,BMS 1,16,Start end SOC calibration,"Warnings: Cells overvoltage, Cells overvoltage. Errors: -. Status: Charge MOS switch off. SOC: 95 %. SOH: 100 %. Battery voltage: 222.2 V. Output voltage: 223.1 V. Output current: -4.5 A. Cell max voltage: 3650 mV. Cell min voltage: 3394 mV. Cell max temp: 23 °C. Cell min temp: 22 °C.",0400040000000000015f64ae08b708d3ff420e420d1716
20250206 15:20:38,BMS 1,2,Events record,"Warnings: Cells overvoltage, Cells overvoltage. Errors: -. Status: Relay on, Air switch on. SOC: 95 %. SOH: 100 %. Battery voltage: 222.2 V. Output voltage: 223.1 V. Output current: -4.4 A. Cell max voltage: 3650 mV. Cell min voltage: 3395 mV. Cell max temp: 23 °C. Cell min temp: 22 °C.",0400040000000000185f64ae08b708d4ff420e430d1716
20250206 15:20:38,BMS 1,21,Events additional info,"Warnings: Cells overvoltage, Cells overvoltage. Errors: -. Status: Relay on, Air switch on. SOC: 95 %. SOH: 100 %. Battery voltage: 222.2 V. Output voltage: 223.1 V. Output current: 0.0 A. Cell max voltage id: 58. Cell min voltage id: 55. Cell max temp id: 1. Cell min temp ud: 0.",0400040000000000185f64ae08b70800003a3703010000
20250206 15:20:39,BMU,2,Events record,Event: Warning; cells overvoltage. Cell max voltage: 3650 mV. Cell min voltage: 3394 mV. Battery max temp: 23 °C. Battery min temp: 21 °C. Battery voltage: 222.1 V. SOC: 95 %. SOH: 100 %.,011700040e420d42171508ad5f64ffffffffffffffffff
20250206 15:20:39,BMU,38,SOP info,Max charge current: 0.0 A. Max discharge current: 50.0 A. Max charge voltage: 233.6 V. Max discharge voltage: 160.0 V. Status: Active. Battery temp: 21 °C. Inverter: Fronius HV. BMS quantity: 2.,000001f4092006400315000203ffffffffffffffffffff
20250206 15:20:43,BMU,38,SOP info,Max charge current: 15.1 A. Max discharge current: 50.0 A. Max charge voltage: 233.6 V. Max discharge voltage: 160.0 V. Status: Active. Battery temp: 21 °C. Inverter: Fronius HV. BMS quantity: 2.,009701f4092006400315000202ffffffffffffffffffff
20250206 15:20:44,BMU,45,Not available,Status: 1. Output voltage: 221.3 V. Battery voltage: 220.7 V. SOC A: 95.8 %. SOC B: 94.6 %.,0100010208a5089f000003be03b20000040400040000ff
20250206 15:20:58,BMS 2,2,Events record,"Warnings: Battery overvoltage, Cells overvoltage. Errors: -. Status: Relay on, Air switch on. SOC: 94 %. SOH: 100 %. Battery voltage: 224.1 V. Output voltage: 223.5 V. Output current: -11.4 A. Cell max voltage: 3566 mV. Cell min voltage: 3457 mV. Cell max temp: 23 °C. Cell min temp: 21 °C.",0500000000000000185e64c108bb088effee0d810d1715
20250206 15:20:58,BMS 2,21,Events additional info,"Warnings: Battery overvoltage, Cells overvoltage. Errors: -. Status: Relay on, Air switch on. SOC: 94 %. SOH: 100 %. Battery voltage: 224.1 V. Output voltage: 223.5 V. Output current: 0.0 A. Cell max voltage id: 60. Cell min voltage id: 12. Cell max temp id: 25. Cell min temp ud: 0.",0500000000000000185e64c108bb0800003c0c03190000
20250206 15:21:19,BMU,45,Not available,Status: 1. Output voltage: 218.6 V. Battery voltage: 225.4 V. SOC A: 96.4 %. SOC B: 95.3 %.,01000002088a08ce000003c403b90000040500040000ff
20250206 15:21:41,BMS 2,10,SOC calibration stop,"Warnings: Battery overvoltage, Cells overvoltage. Errors: -. Status: Charge MOS switch off. SOC: 95 %. SOH: 97 %. Battery voltage: 226.2 V. Output voltage: 225.9 V. Output current: -11.2 A. Cell max voltage: 3615 mV. Cell min voltage: 3472 mV. Cell max temp: 23 °C. Cell min temp: 21 °C.",0500000000000000015f61d608d30890ff1f0e900d1715
20250206 15:21:51,BMS 1,2,Events record,Warnings: Cells overvoltage. Errors: -. Status: Air switch on. SOC: 96 %. SOH: 100 %. Battery voltage: 217.5 V. Output voltage: 8.3 V. Output current: 0.0 A. Cell max voltage: 3490 mV. Cell min voltage: 3360 mV. Cell max temp: 23 °C. Cell min temp: 22 °C.,04000000000000001060647f0853000000a20d200d1716
20250206 15:21:51,BMS 1,21,Events additional info,Warnings: Cells overvoltage. Errors: -. Status: Air switch on. SOC: 96 %. SOH: 100 %. Battery voltage: 217.5 V. Output voltage: 8.3 V. Output current: 0.0 A. Cell max voltage id: 58. Cell min voltage id: 40. Cell max temp id: 1. Cell min temp ud: 0.,04000000000000001060647f08530000003a2803010000
20250206 15:21:53,BMU,2,Events record,Event: Error/Warning cleared. Cell max voltage: 3621 mV. Cell min voltage: 3360 mV. Battery max temp: 23 °C. Battery min temp: 22 °C. Battery voltage: 226.6 V. SOC: 96 %. SOH: 100 %.,001700000e250d20171608da6064ffffffffffffffffff
20250206 15:22:51,BMS 2,2,Events record,"Warnings: Battery overvoltage, Cells overvoltage, Cells overvoltage. Errors: -. Status: Relay on, Air switch on. SOC: 97 %. SOH: 100 %. Battery voltage: 228.1 V. Output voltage: 228.7 V. Output current: -10.9 A. Cell max voltage: 3650 mV. Cell min voltage: 3480 mV. Cell max temp: 23 °C. Cell min temp: 22 °C.",0500040000000000186164e908ef0893ff420e980d1716
20250206 15:22:51,BMS 2,21,Events additional info,"Warnings: Battery overvoltage, Cells overvoltage, Cells overvoltage. Errors: -. Status: Relay on, Air switch on. SOC: 97 %. SOH: 100 %. Battery voltage: 228.1 V. Output voltage: 228.7 V. Output current: 0.0 A. Cell max voltage id: 58. Cell min voltage id: 12. Cell max temp id: 1. Cell min temp ud: 0.",0500040000000000186164e908ef0800003a0c03010000
20250206 15:22:52,BMU,38,SOP info,Max charge current: 0.0 A. Max discharge current: 50.0 A. Max charge voltage: 233.6 V. Max discharge voltage: 160.0 V. Status: Active. Battery temp: 22 °C. Inverter: Fronius HV. BMS quantity: 2.,000001f4092006400316000202ffffffffffffffffffff
20250206 15:22:52,BMS 2,16,Start end SOC calibration,"Warnings: Battery overvoltage, Cells overvoltage, Cells overvoltage. Errors: -. Status: Charge MOS switch off. SOC: 97 %. SOH: 100 %. Battery voltage: 228.1 V. Output voltage: 227.9 V. Output current: -10.8 A. Cell max voltage: 3650 mV. Cell min voltage: 3479 mV. Cell max temp: 23 °C. Cell min temp: 22 °C.",0500040000000000016164e908e70894ff420e970d1716
20250206 15:22:53,BMU,2,Events record,Event: Warning; cells overvoltage. Cell max voltage: 3650 mV. Cell min voltage: 3356 mV. Battery max temp: 23 °C. Battery min temp: 22 °C. Battery voltage: 228.1 V. SOC: 97 %. SOH: 100 %.,011700040e420d1c171608e96164ffffffffffffffffff
20250206 15:23:27,BMS 2,2,Events record,"Warnings: Battery overvoltage, Cells overvoltage. Errors: -. Status: Relay on, Air switch on. SOC: 97 %. SOH: 100 %. Battery voltage: 219.5 V. Output voltage: 218.7 V. Output current: 0.0 A. Cell max voltage: 3476 mV. Cell min voltage: 3394 mV. Cell max temp: 23 °C. Cell min temp: 22 °C.",050000000000000018616493088b080000940d420d1716
20250206 15:23:27,BMS 2,21,Events additional info,"Warnings: Battery overvoltage, Cells overvoltage. Errors: -. Status: Relay on, Air switch on. SOC: 97 %. SOH: 100 %. Battery voltage: 219.5 V. Output voltage: 218.7 V. Output current: 0.0 A. Cell max voltage id: 58. Cell min voltage id: 12. Cell max temp id: 1. Cell min temp ud: 0.",050000000000000018616493088b0800003a0c03010000
20250206 15:23:28,BMU,38,SOP info,Max charge current: 15.1 A. Max discharge current: 50.0 A. Max charge voltage: 233.6 V. Max discharge voltage: 160.0 V. Status: Active. Battery temp: 22 °C. Inverter: Fronius HV. BMS quantity: 2.,009701f4092006400316000202ffffffffffffffffffff
20250206 15:23:29,BMU,2,Events record,Event: Error/Warning cleared. Cell max voltage: 3475 mV. Cell min voltage: 3354 mV. Battery max temp: 23 °C. Battery min temp: 22 °C. Battery voltage: 219.4 V. SOC: 98 %. SOH: 100 %.,001700000d930d1a171608926264ffffffffffffffffff
20250206 15:23:38,BMS 2,10,SOC calibration stop,"Warnings: Battery overvoltage, Cells overvoltage. Errors: -. Status: Charge MOS switch off. SOC: 98 %. SOH: 99 %. Battery voltage: 223.4 V. Output voltage: 223.1 V. Output current: -10.2 A. Cell max voltage: 3557 mV. Cell min voltage: 3438 mV. Cell max temp: 23 °C. Cell min temp: 22 °C.",0500000000000000016263ba08b7089affe50d6e0d1716
20250206 15:23:52,BMS 1,10,SOC calibration stop,Warnings: Cells overvoltage. Errors: -. Status: -. SOC: 99 %. SOH: 100 %. Battery voltage: 215.9 V. Output voltage: 9.1 V. Output current: 0.0 A. Cell max voltage: 3427 mV. Cell min voltage: 3353 mV. Cell max temp: 23 °C. Cell min temp: 22 °C.,04000000000000000063646f085b000000630d190d1716
20250206 15:25:41,BMS 1,5,Stop charging,Warnings: Cells overvoltage. Errors: -. Status: Air switch on. SOC: 99 %. SOH: 100 %. Battery voltage: 215.2 V. Output voltage: 2.7 V. Output current: 0.0 A. Cell max voltage: 3401 mV. Cell min voltage: 3350 mV. Cell max temp: 23 °C. Cell min temp: 22 °C.,040000000000000010636468081b000000490d160d1716
20250206 15:26:04,BMU,45,Not available,Status: 1. Output voltage: 215.2 V. Battery voltage: 218.2 V. SOC A: 100.0 %. SOC B: 99.1 %.,0100010208680886000003e803df0000040500000000ff
20250206 15:26:59,BMU,45,Not available,Status: 1. Output voltage: 215.0 V. Battery voltage: 218.3 V. SOC A: 100.0 %. SOC B: 99.1 %.,0100000208660887000003e803df0000040500000000ff
20250206 15:27:09,BMU,45,Not available,Status: 1. Output voltage: 214.9 V. Battery voltage: 217.8 V. SOC A: 100.0 %. SOC B: 99.1 %.,0100010208650882000003e803df0000040500000000ff
20250206 15:27:23,BMS 2,2,Events record,"Warnings: Cells overvoltage. Errors: -. Status: Relay on, Air switch on. SOC: 99 %. SOH: 100 %. Battery voltage: 217.1 V. Output voltage: 216.3 V. Output current: 0.0 A. Cell max voltage: 3423 mV. Cell min voltage: 3370 mV. Cell max temp: 23 °C. Cell min temp: 22 °C.",04000000000000001863647b08730800005f0d2a0d1716
20250206 15:27:23,BMS 2,21,Events additional info,"Warnings: Cells overvoltage. Errors: -. Status: Relay on, Air switch on. SOC: 99 %. SOH: 100 %. Battery voltage: 217.1 V. Output voltage: 216.3 V. Output current: 0.0 A. Cell max voltage id: 58. Cell min voltage id: 12. Cell max temp id: 1. Cell min temp ud: 0.",04000000000000001863647b08730800003a0c03010000
20250206 15:33:29,BMU,45,Not available,Status: 1. Output voltage: 214.3 V. Battery voltage: 221.2 V. SOC A: 100.0 %. SOC B: 99.2 %.,01000002085f08a4000003e803e00000040400000000ff
20250206 15:33:46,BMS 2,2,Events record,"Warnings: Battery overvoltage, Cells overvoltage. Errors: -. Status: Relay on, Air switch on. SOC: 99 %. SOH: 100 %. Battery voltage: 224.1 V. Output voltage: 223.9 V. Output current: -9.3 A. Cell max voltage: 3545 mV. Cell min voltage: 3450 mV. Cell max temp: 23 °C. Cell min temp: 22 °C.",0500000000000000186364c108bf08a3ffd90d7a0d1716
20250206 15:33:46,BMS 2,21,Events additional info,"Warnings: Battery overvoltage, Cells overvoltage. Errors: -. Status: Relay on, Air switch on. SOC: 99 %. SOH: 100 %. Battery voltage: 224.1 V. Output voltage: 223.9 V. Output current: 0.0 A. Cell max voltage id: 6. Cell min voltage id: 12. Cell max temp id: 1. Cell min temp ud: 0.",0500000000000000186364c108bf080000060c03010000
20250206 15:34:28,BMU,38,SOP info,Max charge current: 0.0 A. Max discharge current: 50.0 A. Max charge voltage: 233.6 V. Max discharge voltage: 160.0 V. Status: Active. Battery temp: 22 °C. Inverter: Fronius HV. BMS quantity: 2.,000001f4092006400316000202ffffffffffffffffffff
20250206 15:34:28,BMS 2,10,SOC calibration stop,"Warnings: Battery overvoltage, Cells overvoltage, Cells overvoltage. Errors: -. Status: Charge MOS switch off. SOC: 99 %. SOH: 100 %. Battery voltage: 228.3 V. Output voltage: 227.5 V. Output current: -8.4 A. Cell max voltage: 3652 mV. Cell min voltage: 3472 mV. Cell max temp: 23 °C. Cell min temp: 22 °C.",0500040000000000016364eb08e308acff440e900d1716
20250206 15:34:28,BMS 2,16,Start end SOC calibration,"Warnings: Battery overvoltage, Cells overvoltage, Cells overvoltage. Errors: -. Status: Charge MOS switch off. SOC: 99 %. SOH: 100 %. Battery voltage: 228.3 V. Output voltage: 227.5 V. Output current: -8.4 A. Cell max voltage: 3652 mV. Cell min voltage: 3472 mV. Cell max temp: 23 °C. Cell min temp: 22 °C.",0500040000000000016364eb08e308acff440e900d1716
20250206 15:34:28,BMS 2,2,Events record,"Warnings: Battery overvoltage, Cells overvoltage, Cells overvoltage. Errors: -. Status: Relay on, Air switch on. SOC: 99 %. SOH: 100 %. Battery voltage: 228.3 V. Output voltage: 227.5 V. Output current: -8.3 A. Cell max voltage: 3651 mV. Cell min voltage: 3471 mV. Cell max temp: 23 °C. Cell min temp: 22 °C.",0500040000000000186364eb08e308adff430e8f0d1716
20250206 15:34:28,BMS 2,21,Events additional info,"Warnings: Battery overvoltage, Cells overvoltage, Cells overvoltage. Errors: -. Status: Relay on, Air switch on. SOC: 99 %. SOH: 100 %. Battery voltage: 228.3 V. Output voltage: 227.5 V. Output current: 0.0 A. Cell max voltage id: 56. Cell min voltage id: 12. Cell max temp id: 1. Cell min temp ud: 0.",0500040000000000186364eb08e3080000380c03010000
20250206 15:34:30,BMU,2,Events record,Event: Warning; cells overvoltage. Cell max voltage: 3653 mV. Cell min voltage: 3343 mV. Battery max temp: 23 °C. Battery min temp: 22 °C. Battery voltage: 228.3 V. SOC: 100 %. SOH: 100 %.,011700040e450d0f171608eb6464ffffffffffffffffff
20250206 15:35:15,BMS 2,2,Events record,"Warnings: Battery overvoltage, Cells overvoltage. Errors: -. Status: Relay on, Air switch on. SOC: 99 %. SOH: 100 %. Battery voltage: 220.0 V. Output voltage: 219.1 V. Output current: 0.0 A. Cell max voltage: 3482 mV. Cell min voltage: 3390 mV. Cell max temp: 23 °C. Cell min temp: 22 °C.",050000000000000018636498088f0800009a0d3e0d1716
20250206 15:35:15,BMS 2,21,Events additional info,"Warnings: Battery overvoltage, Cells overvoltage. Errors: -. Status: Relay on, Air switch on. SOC: 99 %. SOH: 100 %. Battery voltage: 220.0 V. Output voltage: 219.1 V. Output current: 0.0 A. Cell max voltage id: 6. Cell min voltage id: 12. Cell max temp id: 1. Cell min temp ud: 0.",050000000000000018636498088f080000060c03010000
20250206 15:35:16,BMU,2,Events record,Event: Error/Warning cleared. Cell max voltage: 3482 mV. Cell min voltage: 3342 mV. Battery max temp: 23 °C. Battery min temp: 22 °C. Battery voltage: 220.0 V. SOC: 100 %. SOH: 100 %.,001700000d9a0d0e171608986464ffffffffffffffffff
20250206 15:36:23,BMS 2,2,Events record,"Warnings: Cells overvoltage. Errors: -. Status: Relay on, Air switch on. SOC: 99 %. SOH: 100 %. Battery voltage: 217.3 V. Output voltage: 216.3 V. Output current: 0.0 A. Cell max voltage: 3425 mV. Cell min voltage: 3367 mV. Cell max temp: 23 °C. Cell min temp: 22 °C.",04000000000000001863647d0873080000610d270d1716
20250206 15:36:23,BMS 2,21,Events additional info,"Warnings: Cells overvoltage. Errors: -. Status: Relay on, Air switch on. SOC: 99 %. SOH: 100 %. Battery voltage: 217.3 V. Output voltage: 216.3 V. Output current: 0.0 A. Cell max voltage id: 58. Cell min voltage id: 12. Cell max temp id: 1. Cell min temp ud: 0.",04000000000000001863647d08730800003a0c03010000
20250206 15:36:27,BMU,45,Not available,Status: 1. Output voltage: 214.2 V. Battery voltage: 217.2 V. SOC A: 100.0 %. SOC B: 100.0 %.,01000102085e087c000003e803e80000040400000000ff
20250206 15:37:34,BMS 2,5,Stop charging,"Warnings: Cells overvoltage. Errors: -. Status: Relay on, Air switch on. SOC: 99 %. SOH: 100 %. Battery voltage: 216.1 V. Output voltage: 215.1 V. Output current: 0.0 A. Cell max voltage: 3399 mV. Cell min voltage: 3358 mV. Cell max temp: 23 °C. Cell min temp: 22 °C.",0400000000000000186364710867080000470d1e0d1716
20250206 15:46:08,BMS 1,2,Events record,Warnings: -. Errors: -. Status: Air switch on. SOC: 99 %. SOH: 100 %. Battery voltage: 213.9 V. Output voltage: 0.0 V. Output current: 0.0 A. Cell max voltage: 3349 mV. Cell min voltage: 3338 mV. Cell max temp: 23 °C. Cell min temp: 22 °C.,00000000000000001063645b0800000000150d0a0d1716
20250206 15:46:08,BMS 1,21,Events additional info,Warnings: -. Errors: -. Status: Air switch on. SOC: 99 %. SOH: 100 %. Battery voltage: 213.9 V. Output voltage: 0.0 V. Output current: 0.0 A. Cell max voltage id: 49. Cell min voltage id: 29. Cell max temp id: 1. Cell min temp ud: 0.,00000000000000001063645b0800000000311d03010000
20250206 15:47:47,BMS 2,2,Events record,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 99 %. SOH: 100 %. Battery voltage: 214.0 V. Output voltage: 213.9 V. Output current: 0.0 A. Cell max voltage: 3349 mV. Cell min voltage: 3342 mV. Cell max temp: 23 °C. Cell min temp: 22 °C.",00000000000000001863645c085b080000150d0e0d1716
20250206 15:47:47,BMS 2,21,Events additional info,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 99 %. SOH: 100 %. Battery voltage: 214.0 V. Output voltage: 213.9 V. Output current: 0.0 A. Cell max voltage id: 6. Cell min voltage id: 9. Cell max temp id: 1. Cell min temp ud: 0.",00000000000000001863645c085b080000060903010000
